food_name,calories_kcal,fat_g,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,carbs_g,sugars_g,protein_g,fiber_g,cholesterol_mg,sodium_mg,water_g,vitamin_a_mcg,vitamin_b1_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,copper_mg,iron_mg,magnesium_mg,manganese_mg,phosphorus_mg,potassium_mg,selenium_mcg,zinc_mg,nutrient_density_score,calculated_calories,calorie_diff_pct,calorie_consistent,food_category,protein_score,fiber_score,health_score
danish pastry with cinnamon,349,16.7,3.5,10.6,1.6,46.9,0.0,4.8,0.0,27.3,0.3,18.4,0.058,0.3,0.072,0.041,0.2,2.2,0.6,0.049,2.6,0.0,0.0,0.0,37.0,0.079,1.8,14.1,0.4,73.9,95.9,0.028,0.5,109.897,357.09999999999997,2.320916905444116,True,Other,24.0,0.0,46.6985
cinnamon coffeecake,238,13.3,3.3,7.4,1.8,26.6,0.0,3.9,1.1,18.2,0.2,12.5,0.049,0.1,0.02,0.085,0.1,1.0,0.4,0.046,0.2,0.0,0.0,0.0,30.8,0.006,1.1,12.5,0.3,61.6,70.1,0.048,0.5,77.089,241.7,1.554621848739491,True,Other,19.5,11.0,48.149
cheesecake,257,18.0,7.9,6.9,1.3,20.4,17.4,4.4,0.3,44.0,0.4,36.5,0.1,0.061,0.011,0.03,0.2,0.2,0.5,0.1,0.3,0.078,0.4,0.093,40.8,0.039,0.5,8.8,0.1,74.4,72.0,0.079,0.4,84.8,261.2,1.6342412451361823,True,Cheese,22.0,3.0,33.498000000000005
fruitcake,139,3.9,0.5,1.8,1.4,26.5,11.8,1.2,1.6,2.2,0.013,10.9,0.06,0.004,0.063,0.0,0.063,0.3,0.015,0.008,0.2,0.0,0.4,0.032,14.2,0.082,0.9,6.9,0.067,22.4,65.8,0.033,0.1,48.507,145.9,4.964028776978421,True,Other,6.0,16.0,53.499935
mince pie,477,17.8,4.4,7.7,4.7,79.2,46.7,4.3,4.3,0.0,0.4,61.7,0.0,0.2,0.074,0.0,0.2,2.0,0.2,0.1,9.7,0.0,0.2,0.071,36.3,0.2,2.5,23.1,0.4,69.3,335.0,0.099,0.4,154.1,494.20000000000005,3.6058700209643706,True,Other,21.5,43.0,51.848
yellow cake with chocolate frosting,546,25.6,8.3,10.4,6.8,79.7,56.5,4.6,2.2,23.0,0.4,32.2,0.0,0.032,0.0,0.0,0.1,1.2,0.2,0.0,0.0,0.0,6.5,0.089,46.1,0.2,2.9,28.8,0.3,198.7,269.3,0.084,0.6,161.1,567.6,3.95604395604396,True,Other,23.0,22.0,36.397999999999996
danish pastry with fruit,335,15.9,3.3,10.1,1.6,45.1,0.0,4.8,0.0,18.8,0.3,27.3,0.043,0.3,0.093,0.016,0.2,1.8,0.6,0.005,1.6,0.0,0.0,0.0,21.6,0.059,1.4,14.1,0.2,68.6,110.0,0.052,0.5,90.454,342.7,2.2985074626865636,True,Other,24.0,0.0,47.298500000000004
white cake with coconut frosting,399,11.5,4.4,4.1,2.4,70.8,64.3,4.9,1.1,1.1,0.3,23.2,0.015,0.1,0.058,0.091,0.2,1.2,0.2,0.026,0.1,0.047,0.1,0.019,100.8,0.031,1.3,13.4,0.3,78.4,110.9,0.093,0.4,190.574,406.3,1.8295739348370956,True,Other,24.5,11.0,46.3485
danish pastry with cheese,353,24.6,5.1,15.6,2.4,28.7,0.0,5.8,0.0,20.0,0.3,30.8,0.057,0.3,0.035,0.095,0.2,2.5,0.6,0.082,2.6,0.0,0.0,0.0,70.1,0.004,1.8,15.5,0.4,80.1,116.5,0.015,0.6,133.666,359.4,1.8130311614730814,True,Cheese,29.0,0.0,43.3985
blueberry pie,360,17.5,4.3,7.5,4.5,49.2,0.0,4.0,0.0,0.0,0.3,75.3,0.0,0.2,0.073,0.0,0.2,1.8,0.2,0.015,1.0,0.0,0.0,0.0,10.3,0.081,1.8,11.8,0.4,44.1,73.5,0.059,0.3,83.8,370.3,2.8611111111111143,True,Other,20.0,0.0,43.0985
yellow cake with vanilla frosting,239,9.3,1.5,3.9,3.3,37.6,0.0,2.2,0.2,35.2,0.2,14.1,0.027,0.018,0.064,0.016,0.099,0.3,0.2,0.001,0.0,0.0,0.0,0.0,39.7,0.017,0.7,3.8,0.089,91.5,33.9,0.02,0.2,89.788,242.90000000000003,1.6317991631799305,True,Other,11.0,2.0,49.199
pie crust,121,8.0,2.0,3.5,2.1,10.9,0.045,1.5,0.4,0.0,0.1,2.3,0.0,0.004,0.004,0.0,0.088,0.8,0.048,0.075,0.0,0.0,0.033,0.038,2.3,0.079,0.7,3.2,0.061,15.4,15.4,0.096,0.1,23.8,121.6,0.49586776859503656,True,Other,7.5,4.0,47.0495
chocolate cake with chocolate frosting,537,27.7,8.2,10.1,6.4,72.9,55.1,4.8,3.0,30.4,0.5,30.4,0.095,0.0,0.098,0.0,0.061,1.1,0.3,0.0,0.1,0.0,6.0,0.02,41.4,0.3,4.2,42.8,0.5,189.1,372.6,0.084,0.8,154.164,560.1,4.301675977653636,True,Other,24.0,30.0,38.5975
cheese coffeecake,258,11.6,4.1,5.4,1.3,33.7,0.0,5.3,0.8,64.6,0.3,24.5,0.082,0.098,0.001,0.049,0.07,0.5,0.3,0.086,0.041,0.0,0.0,0.0,44.8,0.074,0.5,11.4,0.1,76.8,219.6,0.075,0.4,96.831,260.4,0.930232558139526,True,Cheese,26.5,8.0,47.24850000000001
